,0
0,火钳刘明
1,合体
2,忙不是理由
3,好难受看到这里，想到奶奶了。每年过年孩子们回去就是她最高兴的事情了
4,66666
5,猪
6,哈哈哈
7,帅！！！
8,难受
9,是妹爷
10,唉，莫名心酸
11,心酸
12,你大爷永远是你大爷
13,QAQ
14,合影
15,一群倒霉孩子
16,这个拍的真好
17,爵士好评
18,bgm好评
19,我也是，爷爷在我出生前就已经去世好几年了
20,想哭
21,泪目
22,哭死了
23,吹风机
24,火钳刘明
25,凉拌猪蹄
26,配，配种？
27,佩奇，英国猪。传说中的三忍之一
28,真TM有这头猪
29,欧气十足
30,可伶老人
31,掺金坷垃的佩奇
32,合影
33,硬核佩奇
34,女主的产后护理
35,我爷爷……他
36,鼓风机！！
37,高能
38,硬核佩奇
39,蒸汽朋克
40,合影
41,难受
42,春晚有个演员叫李佩琪
43,万恶之源
44,看完视频不投币   全家都是鼓风机
45,前方高能
46,我们地理老师给我们放过
47,赛博朋克
48,6666666666666666
49,修罗铠甲，合体！
50,我要GTX2080
51,爷爷好棒啊
52,。
53,冷静
54,冷静
55,他们在干大事
56,前面生物老师放的  我们是语文老师放
57,带着手套确实能
58,粗鄙之语
59,粗鄙之语
60,那叫鼓风机，你给我用鼓风机吹头啊
61,每天亿遍
62,gtx2080ti认真的？
63,爷爷去世九年了，一晃我也长大了，爷爷我想您了
64,合影
65,合影
66,凉拌红猪蹄
67,唉
68,佩琪是个吹风机
69,小猪佩奇-源计划
70,23333
71,23333
72,23333
73,张家口本来就说普通话。。。
74,66
75,魅族被阿里投资了哈哈
76,合影
77,大哥 20系列是RTX
78,pigpie 春节限定
79,吹风机
80,泪目QAQ
81,合影留念
82,蒋大为
83,在学校班主任和语文老师都给我们放
84,硬核佩琪
85,要爷爷7/10
86,这叫温情，不是心酸
87,表面
88,我小羊苏西铲了..的...
89,难受
90,怀念爷爷奶奶了
91,泪目
92,就是那个长得像猪的吹风机
93,感动了
94,合影留念
95,刘佩琦哈哈哈哈
96,心疼
97,泪目
98,泪目
99,人家化学是配平
100,泪目
101,然后就是废品
102,警花曲直对比
103,传说中的模型机
104,哈哈哈哈哈哈哈
105,哈哈哈哈哈哈哈
106,泪目了
107,哈哈哈哈哈哈哈哈哈
108,合影
109,硬核佩奇哈哈哈哈哈
110,瞎说什么大实话………
111,233333333
112,爷爷万能
113,合影留念
114,哈哈哈哈哈哈哈
115,硬核大爷
116,硬核大爷
117,心酸
118,山东话呀
119,666
120,畜牲
121,泪目
122,哈哈哈哈哈哈
123,边笑边酸
124,好酸啊
125,合影
126,你大爷就是你大爷
127,爷爷，我要9代i9
128,天线呢？
129,粉红色的小猪
130,中国移动宣传片
131,中国移动宣传片
132,儿子来了
133,儿子来了，回头
134,爷爷，我要乐正绫
135,中国移动宣传片
136,佩奇牌鼓风机
137,他一门家子都是猪
138,南村群童欺我老无力
139,知道了，红火尧猪肉
140,她在北京干过保姆
141,53125572431
142,身为张家口人，我不会说张家口方言……
143,so mi do re so so xi re fa mi do
144,爷爷，我要奥特曼
145,所以这其实是小猪佩奇大电影的宣传片？
146,那么谁在背后捞金呢。
147,天天？？？
148,我已经抓住了未来！
149,好的谢谢爷爷
150,我也没见过诶，没出事就死了
151,组团要爷爷（10/10）
152,泪目
153,真香
154,我没有爷爷，我都没有见过他
155,我只想要爷爷
156,有点难受
157,宝玉（滑稽）
158,gtx2080是来搞笑的吗
159,我还叫jojo呢，王jojo
160,@手工耿
161,666666666666666666666666
162,哭了哭了。。呜呜呜！！！
163,好了看见刷视频无关的直接举报就行别骂人
164,woc666666666
165,我要烤猪
166,烤猪
167,社区送温暖
168,烤猪
169,赛博朋克2077
170,要不要这么虐啊
171,粉红猪小妹
172,泪目
173,可以
174,心酸
175,小马宝莉不服
176,吹风机
177,笑着笑着就哭了
178,只想爷爷好好的
179,其实爷爷想要，只怕给儿子添负担
180,这不出手办可惜了
181,泪目
182,欺我老无力
183,泪目
184,2333333
185,看了这个忘了佩奇长啥样了
186,修罗铠甲
187,吹风机
188,吹风机
189,太秀了
190,移不动，联不通，信不过
191,天天。。。
192,组团要爷爷11/10
193,dark♂为
194,23333
195,QAQ可爱
196,哈哈哈哈
197,我一个怀来人都不知道这个地
198,666666
199,普通话可以呀
200,粉红猪
201,粉红猪
202,粉红猪
203,爷爷手机小灵通
204,佟♂大为
205,配音的
206,我要一片二向箔，清理用
207,发底端的低能儿
208,心疼
209,爷爷我要言和
210,妈耶，保定市的牌照
211,流浪地球的是魔鬼吗
212,粗鄙之语
213,我也已经没有爷爷了。
214,泪目，为了送孙子礼物，问了多久什么是佩奇
215,爷爷牛逼！
216,233333
217,233333333333333333
218,卡在了奇怪的地方……
219,组团要爷爷(10/10)出发
220,水果滞销帮帮我们
221,BGM……
222,555
223,合影
224,看一次泪目一次
225,你倒是快回来啊！！！
226,一窝猪233333333
227,要爷爷9/10
228,葫芦娃救爷爷
229,真香
230,今天敲核桃了没
231,233333333
232,傲娇爷爷
233,5元30兆移动真实惠
234,佟大为
235,爷爷，我要黄少天
236,然而吹喇叭的早已看透了一切
237,大爷换手机了
238,快按住老虚的笔
239,源计划的是魔鬼吗，红红火火恍恍惚惚
240,天天？？
241,硬盒佩琪哈哈哈哈
242,厉害了
243,这……我们要精准扶贫
244,前方高能         注意后面
245,这母亲是脸部烫伤了吗
246,合影(♡´◡` 人´◡` *)
247,中国移动，不移不动
248,这个是中华汽车广告，还是移动广告还是佩琪广告？
249,合影留念
250,欠打
251,泪目
252,合影
253,源 计 划 佩 奇
254,爷爷 我想要我老婆 蕾姆
255,我爷爷在我出生前就去世了 连他张什么样都没见过
256,一点都不觉得好笑
257,dark♂为啊！
258,dark♂为啊！
259,dark♂为啊！
260,铠甲合体
261,想爷爷了。。。。但是已经忘记他是什么样子了
262,这up主很棒
263,回来啊！
264,哈哈
265,厉害啊！
266,南村群童有点东西
267,第六师军乐团
268,你们真好，我爷爷我都没见过
269,真香~哎呀
270,万恶之源
271,组团要爷爷13/100
272,什么? 二刺猿
273,佩琪是猪
274,是猪！！！！！！！！！！！！！！！！！！
275,我有一个小秘密，就不告诉你······～～～～～～～～
276,魅15？？？
277,我们村就有喇叭广播  
278,硬核史塔克
279,爷爷我想要伊莉雅
280,佟大为？？？
281,天依
282,同乡
283,河南人
284,还好还好哈哈哈哈哈哈
285,辣鸡老板，我要回家！！！
286,心酸
287,河北话？
288,这个爷爷真好
289,猝不及防？？？
290,泪目QAQ
291,我也没见过我爷爷
292,23333333333333
293,2333333
294, 初中同学，刘佩琦
295,就是烤猪
296,我好想念毛爷爷
297,gtx2080你认真的？？？
298,佩奇媳妇，什么事老三？
299,老三佩奇，什么是媳妇？
300,23333
301,爷爷我要星尘
302,合影留念
303,泪目
304,泪目
305,挡字幕的要点脸好吗
306,合影
307,hhhhhhh
308,合影，这真牛壁
309,合影
310,我有爷爷，我爷爷啥也不给我
311,合影
312,跟零四年左右我爸用的手机差不多
313,哈哈哈
314,中国移动好网好实惠
315,中国移动
316,合影
317,小卖部里卖手机还真是
318,看车牌暂停成功
319,是孙女
320,打脸，，，，，真香
321,性格好像我爷爷
322,8848
323,挡字幕是没考试吗？
324,全能爷爷
325,朱广权！！
326,我就要哭了
327,泪目
328,硬核！
329,硬核
330,张家口人表示不会
331,想爷爷了。二年级的时候走的。
332,熊孩子哼哈哈哈
333,山东的
334,有点……心疼
335,没有爷爷的揉揉你们ww
336,求花花卡
337,有点感动w爷爷真好啊
338,有点……
339,回来啊……
340,哈哈哈哈哈好可爱啊
341,有点想哭了
342,莫名感动
343,我有个爷爷，可惜出现了意外，当时哭了好久
344,好喜欢这个爷爷
345,失望。。。。。。。。。。。。。
346,常回家看看
347,真有点想哭了
348,23333333333333333
349,好评！！！！！！！！！！
350,工业朋克风的佩奇
351,妈呀，我要死了，太可爱了
352,朱广权阿阿阿啊啊
353,修罗铠甲，合体！
354,合影合影
355,合影留念
356,硬核
357,康帅
358,2333
359,自动变黄
360,王咩不是做过一个？？？
361,是社会人
362,瞬间泪目
363,。。。。
364,什么意思，什么儿女
365,张家口取的景
366,这竟然是个广告？？？
367,爷爷我要灵梦
368,我想起了我的爷爷
369,佩奇野菜汁
370,你大爷永远是你大爷
371,看出了乡愁。T_T
372,粗鄙之语！
373,●【小猪佩奇】进入了直播间
374,我想要RTX 2080 Ti
375,拿错书了
376,佩奇
377,合影
378,我爷爷二十几岁就阑尾炎死了，我从来都没见过
379,养的什么孩子这么不懂事
380,哈哈哈爷爷太可爱了
381,感动
382,泪目
383,心酸
384,挺好看的啊
385,那个叫张佩奇的别跑
386,不是张家口方言，张家口方言你是听不懂的。。
387,泪目
388,是
389,爷永爷
390,泪目
391,逐渐虚化。。。
392,爷爷我要米迦
393,蛋炒饭～蛋炒饭～
394,呜呜呜一群要爷爷的小可爱
395,爷爷，我要洛天依
396,啥是佩奇啊
397,厉害了
398,笑出猪叫
399,我也要佩奇啊爷爷
400,啥是佩奇啊
401,我也要手办爷爷
402,ohhhhhhhhhhhhhhhh
403,组团要爷爷10/10
404,欢迎回来
405,蓝瘦
406,泪目
407,我爷爷今年也去世了
408,233333333
409,66666666666
410,合影留念～
411,这爷爷和我爷爷好像
412,前方右侧挂牌，怀来县小南辛堡镇外井沟村村民委员会
413,想哭了
414,前方右侧挂牌，怀来县小南辛堡镇外井沟村村民委员会
415,我去
416,强大
417,谁让老虚动的剧本？!
418,拿佩奇手办（滑稽）
419,傲娇哈哈哈
420,你大爷永远是你大爷
421,办事呢！
422,哇硬核！
423,硬核佩琦
424,一阵凉风吹得心里凉嗖嗖的
425,好笑但又有些心酸
426,寄刀片8/10
427,猝不及防
428,中国移动 好网络好实惠
429,爷爷，我要VOCALOID编辑器
430,硬核
431,老乡啊
432,握草，家乡话
433,这是张家口话
434,绿色山东的那个！
435,你快硕呀
436,神马？冻划片儿？
437,孙子好开心啊
438,大爷你怎么骂人啊？(滑稽)
439,小羊苏西
440,小狗丹尼
441,小马佩德罗
442,流氓乐器唢呐
443,开门 精准扶贫
444,源计划限定 佩奇
445,开门，社区送温暖
446,红烧佩奇
447,6
448,あいうえおぁぃぅぇ
449,爷爷我要狂三手办
450,我爷爷在我出生那天没了
451,哇，金色传说
452,电影院大声接打电话？
453,爷爷我要栀子
454,不一定是爷爷啊，各位珍惜自己的家人就没有白看
455,杜馨容在看吗
456,杜馨容在看吗
457,  粗鄙之语
458,啥是配平
459,中国移动自家的手机
460,联不通移不动
461,爷爷，我能要个言和吗？
462,真香
463,魅族15
464,呀呀呀这比喻太棒了吧
465,哈哈哈 天天
466,2333333
467,蓝瘦香菇
468,@华农
469,gtx1080ti
470,2333
471,忙，都忙，忙点好啊
472,泪目
473,组团要爷爷（10/10000000000000000）
474,我爷爷在我出世前10年就死了……
475,酷
476,社会我佩琪姐儿
477,合影
478,猪！！！！
479,23333
480,6啊
481,这
482,对不起，我忍不住了
483,出现了，泪目怪
484,傲娇
485,流浪地球？？
486,......爷爷现在就在客厅看电视的我是不是于你们有些出入
487,合影！！！
488,都是为了自己的儿子。。想哭
489,泪目
490,前方高能
491,祖国移动我不动（迫真）
492,对不起，我笑了
493,爷爷我要女朋友
494,泪目
495,哎
496,合影
497,这是他弟妹，不是老伴吧，只有他一人生活
498,哈哈哈真的不是少女朋克吗
499,还好我还和爷爷住，他很疼我
500,泪目
501,RTX啊大哥们，2080ti哪来的GTX
502,小孩眼睛里有星星！最纯真的可爱！
503,人家连佩琪是啥都不知道，会知道是动画？看个鬼少儿频道
504,233
505,哇
506,又是你233
507,爷爷，我想要洛天依
508,爷爷在这里
509,7777
510,前方高能
511,泪目
512,卧槽6666666
513,哈哈哈哈哈哈哈哈哈
514,前面的，那是陈佩斯
515,山东的，刚才车牌是鲁F
516,会说话的猪头
517,我是不是太迟了
518,心疼
519,我也没见过
520,。。。。。
521,这爷爷拿回家孝敬
522,底端弹幕很烦欸
523,屏幕前的各位就是佩奇
524,233333333
525,信号
526,科普一下:此地在河北省张家口市怀来县的一个村里
527,所以说的是怀来县方言，跟普通话很近，但与张家口方言相差较多
528,泪目
529,我要一个女朋友
530,要狂三x2
531,国家还是国家，你大爷还是你大爷
532,一生最重要的任务的你是魔鬼吗？
533,倒霉孩子
534,别让等待成为遗憾
535,要什么显卡？要显卡。爷爷我想要台笔记本。
536,爷爷我要北京1号地下城
537,爷爷我要初音！（大声）
538,我哭了，你们呢？？？。。。
539,挺感动的
540,心酸
541,我要TITAN RTX
542,我要我老婆雷姆
543,连母亲都没有见过爷爷的哭了
544,你大爷永远是你大爷
545,组团要爷爷10/10
546,这个佩奇过于硬核
547,合影留念
548,泪目
549,下面的别挡字幕行吗？？
550,山东
551,村里有这种老人
552,跟我在家里的找信号一样
553,牛逼
554,社区送温暖
555,浙师大写观后感
556,其实这个里面的广告不止一个
557,优秀
558,滴  滴滴～
559,硬核佩奇
560,前方高能
561,前面写观后感的，你不是一个人
562,爷爷我要炮姐
563,爷爷我要2233手办
564,我想要
565,鲁F•XL051
566,我爷爷是天底下最好的人！
567,组团要爷爷4008208820/10
568,爷爷，我要三玖
569,我靠哈哈哈哈哈哈哈哈哈哈哈哈笑尿了
570,i9  9900k
571,爷爷我要minecraft
572,真实
573,啥是佩奇啊
574,爷爷我要Supreme
575,泪目
576,张大鹏这导演拍的都是那种轻幽默亲情剧，搞笑又感人，厉害
577,今年过年没回家 唉 好后悔啊
578,曾志伟？
579,什么，你想要煤气灶
580,什么？你想要煤气灶
581,我要日本娘们
582,duang！ duang！ duang！  FBI Open the door
583,傲娇
584,前方高能
585,无感
586,阖家欢乐
587,不知羞耻!
588,哈哈哈哈哈哈
589,砍普力特
590,tql
591,泪目
592,真实，比喻太恰当了！！！哈哈哈(ಡωಡ)hiahiahia
593,好可爱的爷爷
594,不知道为什么笑到岔气，但有点想哭
595,dark为
596,一点也不想笑
597,来了老弟～
598,来了老弟
599,我们那的话
600,权哥
601,我要高达
602,合金装备，佩奇
603,行星发动机
604,河北话？
605,组团要爷爷 9/10
606,好，爷爷都烧给你!
607,暂停看车标
608,爷爷我要比利
609,道路千万条安全第一天
610,同款手机握草
611,？？？
612,开门查水表！
613,爷爷，我要初音未来
614,我爷爷也会做木匠活儿……家里的不少凳子啊桌子啊都是我爷爷做的
615,要爷爷9/10
616,啊啊啊
617,硬核佩奇
618,2333333333333333333333333333333333333333333333333333333333333333333333333333333
619,莫名心酸
620,熊孩子ヽ（・＿・；)ノ
621,那群小朋友也知道！
622,太硬核了
623,心酸
624,换一个中国移动的
625,蕾姆
626,mao菇
627,泪目，太过分了
628,喜之郎
629,哈哈哈
630,2333333333333
631,组团寄刀片9/10
632,爷爷我要三玖
633,我哭了，真的
634,小马宝莉
635,烟台的
636,爷爷我要老婆
637,前面泪目的看好
638,山东人吧
639,与佩奇合影留念
640,来了老弟
641,移动信号233
642,源计划：佩奇
643,然而吹唢呐的早已看穿了一切
644,应该是河北的吧，前面有句方言听到了
645,你大爷永远是你大爷
646,合影
647,组团要爷爷99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999/10
648,社会人
649,硬核佩奇
650,中华
651,哥，是RTX2080ti
652,哈哈哈哈
653,笑哭了
654,23333
655,马鸭……
656,打广告，嗯，厉害
657,心疼
658,怀来县小南辛堡镇每年春天都有很好看的海棠花！！！！！！！怀来县就是张家口市的一个县！！！！！
659,爷爷我要喻队！
660,不要啊
661,爹妈起的哈哈哈，笑死我了
662,张佩奇哈哈哈
663,想爷爷了
664,这大爷牛啊
665,我不想哭的!好烦
666,牛批
667,ò
668,看的太难受了
669,呵呵
670,6666666
671,买小米呀！
672,心疼
673,宝宝：哇⊙ω⊙
674,666666
675,手上拿着红漆刷
676,钢铁之心·佩琪
677,打脸现场
678,咚♂大♂为
679,粗鄙之语！
680,佩奇是吹风机
681,其实我挺不喜欢佩琦的
682,我要ps4
683,我爷爷今年81祝他长寿
684,注入灵魂
685,swich
686,手机比我的都好
687,怀来县的啊
688,我爷爷今年六十多岁，身高将近一米九
689,合影
690,这俩没准干啥呢23333
691,爷爷，我要金坷垃
692,电影扑街，欺骗我儿子感情
693,合影
694,合影
695,泪目
696,你回来啊！
697,心疼
698,小羊苏西
699,组团要爷爷11/9（我们队有佩琪）
700,莫名想哭
701,想哭
702,合影
703,ps4谢谢爷爷
704,天啊我要哭了。。
705,爷爷我要ipadpro
706,小乳猪不就是红的吗
707,合影
708,爷爷，我要星尘
709,第三遍还是哭了
710,。
711,带这手套能触控？
712,哎心酸啊
713,泪目
714,爷爷我要欧根亲王
715,确定了山东
716,屠夫上线
717,前方高能
718,组团要爷爷9999999999999999/10
719,泪目
720,窒息
721,nb
722,泪目
723,泪目
724,喜之郎果冻
725,Hhhhhh
726,合影
727,我去
728,爷爷，我要葫芦娃
729,吹风机真实
730,233333
731,我爷爷和我外公我出生的时候他们就已经不在了
732,合影
733,我也想要个爷爷
734,演员？？你是认真的？
735,真的很像俺山东话
736,我爷爷是个老赖，哭了(´；ω；｀)是真的，我没骂人
737,爷爷我要2080ti，我要9900k
738,呜呜呜(┯_┯)心酸啊
739,心酸啊
740,合影
741,这个爷爷去哪找啊
742,我有一个对我很好的的爷爷，嘻嘻
743,我爷爷今年70岁
744,观后感的等等我
745,南村群童你好秀啊
746,告诉我，观后感怎么写
747,喂，上次组团是打打老头，这回咋直接要了
748,爷爷，我要个682大爷
749,小猪佩种
750,搞笑片？
751,难过的都黑了
752,组团要爷爷9/1000
753,硬核佩琪
754,这哥们也是铁吖
755,上面那位   2080是RTX
756,查水表
757,老乡，查水表
758,我出生前爷爷就去世了，没人给我做佩琪
759,泪目
760,你大爷永远是你大爷
761,1
762,这村民好善良啊！
763,泪目，我想要爷爷
764,6666666666666666
765,想我爷爷了
766,泪目
767,真香
768,泪目
769,泪目
770,我们也要写观后感( •̀∀•́ )
771,@吴亦凡 鹿晗 景甜，瞧瞧人老先生演的，脸红不？？
772,这帮倒霉孩子
773,2333
774,硬核爷爷
775,我已经没有爷爷了
776,泪目
777,嘤嘤嘤
778,最强手办
779,修罗铠甲变身
780,23333
781,爷爷我要2233娘！
782,合影哈哈哈哈哈
783,唉
784,555
785,这电视能看佩奇的吧。。
786,原来好多人要写作文啊，不如我们一人一段？
787,南村群童欺我老无力
788,哎
789,我们山东的！
790,2333333333
791,哈哈哈哈哈哈哈哈哈哈哈
792,开门，社区送温暖
793,社会猪
794,社会猪
795,社会猪
796,吹风机
797,@中国移动
798,我要初音未来手办！
799,我要行星发动机启动流浪地球计划
800,我要初音未来！
801,社会猪害人不浅
802,陷入沉思
803,哈哈哈哈
804,这手套缝大，可以触控
805,擦
806,吹风机
807,当爷爷的也是够拼啊。
808,当爷爷的也是辛苦了。
809,我爷爷不认得我了……
810,唉
811,额
812,走了
813,修罗铠甲的别跑
814,沙城人路过
815,2333
816,233333
817,哈哈哈
818,好可爱哈哈哈
819,666666
820,我的妈哈哈哈哈哈哈哈太可爱了
821,写观后感的来集合
822,怎么写观后感？
823,爷爷我要万由里！
824,毒蘑菇
825,弹幕
826,为什么没有弹幕了
827,我的天，原版原来在这里
828,前方高能
829,孙子应该要钢铁侠的。
830,浙师大那个别跑！
831,合影
832,哈哈哈哈
833,收到收吾倒，吾系靠彩数
834,写观后感
835,佩奇
836,喜之郎果冻
837,口吹风机
838,开门 SCP基金会的
839,真实
840,白雷叫我们写读后感
841,观后感……
842,天天hhh
843,2333333
844,真牛逼
845,华北平原各地方言发音类似声调不同
846,爷爷我要五月，三玖
847,哈哈哈哈哈
848,FBI OPEN UP
849,你gank爷爷
850,张家口人说这是张家口拍的 还有张家口本地人基本不说普通话
851,张家口人告诉你在张家口人们基本上不说普通话
852,张家口人告诉你在张家口人们基本上不说普通话
853,张家口话 谢谢
854,马飞飞
855,真香警告
856,我们英语作业，魔鬼
857,要爷爷1073784543724834/10
858,爷爷我要女朋友
859,山东的吧，我一个同学就这口音
860,诺基亚x7
861,组团要爷爷11/10
862,难受
863,河南话8
864,合影
865,同款手机！
866,爷爷我要香蕉君
867,向爷爷索取东西的虽说是调侃但是这真的很不合适
868,卧槽(#ﾟДﾟ)，还有几分神韵?
869,唉这也表现了老人很想让远在城市的家人回来看看啊
870,看爷爷嘴角的红漆哈哈哈
871,组团要爷爷11／11
872,我爷爷至今健在，身体情况也很好
873,爷爷我要miku
874,小孙子真可爱
875,真实，我们村也这样的
876,组团要爷爷11
877,组团要爷爷1/1000
878,怀来不属于晋语区
879,好像是中兴那款小灵通
880,？？
881,动画片不咋样但是这硬核广告是真牛逼
882,钢铁佩琪
883,烟台的烟台的！不过不是烟台话……
884,这里是伏笔
885,合影
886,爷爷我想要mk7
887,泪目
888,语文考试的阅读题
889,一摘，一采，一敲，一带，满满都是爱啊
890,我也没爷爷了……
891,啥是大爱
892,我没见过我爷爷啊
893,从liulangdjqiu
894,从流浪地球计划开始的第一天起，jiuzaiyehuubuq
895,泪目
896,感动
897,喜之郎果冻
898,泪目，小时在农村没啥玩具，爷爷就用乌龟壳和两个螺丝帽做成拨浪鼓给我玩。
899,泪目
900,组团要爷爷12/10
901,看了想打死他孙子系列
902,爷爷，我要言和！
903,爷爷今天要把你刷成红的
904,爷爷，我要个傻大白
905,爷爷，我要个傻大白
906,修罗铠甲……………………………………………………………………合体
907,佩奇战损版
908,帅气哦，眼泪出来了
909,万物皆虚
910,张家口怀来-北京延庆之间
911,张家口怀来地区的
912,张家口的
913,张家口怀来地区
914,张家口
915,这是怀来地区的
916,山东人是张家口的儿子？
917,熊孩子
918,又心酸……又想笑
919,猪：我jio得布星
920,阖家欢喜
921,我想知道那个视频彩铃培训到底有没有人去学
922,我也要组成弹幕
923,铁二中写观后感的路过
924,标准甲方
925,我不用爷爷帮我做这些，但是希望他身体恢复成以前那样……
926,什么？二刺猿！
927,烟台口音哈哈哈
928,歌曲名：Gangsta Symphony，歌手名：Philip Guyler，专辑名：Gangsta Symphony
929,爷爷我要卡米尔
930,天天？！跟谁天天？！
931,熊孩子
932,大♂为啊
933,好优秀啊
934,傲娇哈哈哈
935,nb
936,听听，这是人说的话吗
937,爷孙代沟
938,小孩好没礼貌
939,这个大爷人真好，没忘记
940,妈呀我哭了
941,弹幕呢？
942,合影
943,我们政治考试，惊了
944,首尾呼应
945,1001
946,RTX2080ti
947,如果这帮小孩告诉了他，也就没有后面的事情了
948,别给老人开这种玩笑
949,钢铁：佩奇
950,忙，都忙，忙点好啊
951,爷爷，我要凉宫春日
952,心疼爷爷
953,爷爷，我要清泉流响
954,过于硬核
955,又想笑又心酸
956,开门查水表
957,佟dark为
958,为了孙子啊。。
959,心疼的 牙齿都在打战
960,合影
961,泪目
962,合影
963,完了，
964,就是你了，
965,扎实，
966,合影留念
967,马飞飞！
968,爷爷：你可闭嘴吧
969,美国进口猪
970,不是因为英语作业，我也不会点开
971,这地方为什么老想哭
972,又多了一个作业
973,心酸
974,为什么一会普通一会方言
975,河南话也很像
976,蒸汽朋克
977,《亮剑》取景地 牛逼
978,6666666666666666666666666666666666666666666666
979,南村群童欺我老无力
980,不懂装懂2333
981,濮阳的
982,河北怀来县外沟村
983,大一要写观后感，懵了
984,蒸汽朋克佩奇
985,然而吹唢呐的早已看穿一切
986,小爱同学你干嘛给我放这个啊
987,像亮剑+1
988,中移动定制广告
989,rtx2080ti
990,太硬核了
991,蒸汽朋克
992,孙子这笑容哈哈哈
993,Stand by
994,电视……
995,我要狂三
996,rtx2080ti
997,ps4
998,iPad
999,这叫风鼓子
